Date,Anomaly
185001,-0.09
185002,-0.06
185003,-0.10
185004,-0.08
185005,-0.07
185006,0.02
185007,-0.03
185008,-0.06
185009,-0.05
185010,-0.04
185011,-0.01
185012,0.00
185101,-0.01
185102,-0.02
185103,-0.05
185104,-0.17
185105,-0.14
185106,-0.07
185107,0.06
185108,0.10
185109,0.13
185110,0.15
185111,0.15
185112,0.06
185201,-0.03
185202,-0.10
185203,-0.13
185204,-0.15
185205,0.01
185206,0.11
185207,0.11
185208,0.13
185209,0.09
185210,0.20
185211,0.21
185212,0.14
185301,0.10
185302,0.01
185303,0.06
185304,-0.02
185305,-0.01
185306,0.08
185307,0.09
185308,0.07
185309,0.00
185310,-0.01
185311,-0.03
185312,-0.07
185401,-0.09
185402,-0.06
185403,0.04
185404,-0.02
185405,0.02
185406,-0.05
185407,-0.02
185408,-0.04
185409,0.03
185410,0.07
185411,0.01
185412,0.04
185501,-0.02
185502,0.01
185503,0.01
185504,-0.01
185505,-0.03
185506,-0.05
185507,-0.04
185508,-0.01
185509,0.04
185510,0.12
185511,0.11
185512,0.11
185601,0.09
185602,-0.01
185603,-0.04
185604,-0.04
185605,-0.06
185606,0.02
185607,-0.10
185608,-0.09
185609,-0.14
185610,-0.20
185611,-0.22
185612,-0.25
185701,-0.19
185702,-0.21
185703,-0.25
185704,-0.22
185705,-0.21
185706,-0.14
185707,-0.11
185708,-0.11
185709,-0.03
185710,-0.04
185711,-0.06
185712,-0.09
185801,-0.11
185802,-0.16
185803,-0.07
185804,-0.12
185805,-0.20
185806,-0.13
185807,-0.09
185808,-0.07
185809,-0.06
185810,-0.06
185811,0.02
185812,-0.03
185901,-0.02
185902,0.02
185903,0.02
185904,-0.01
185905,0.05
185906,-0.01
185907,0.02
185908,0.03
185909,0.04
185910,0.02
185911,0.05
185912,0.14
186001,0.10
186002,0.07
186003,0.07
186004,-0.06
186005,-0.07
186006,-0.06
186007,-0.11
186008,-0.10
186009,-0.10
186010,-0.08
186011,-0.13
186012,-0.15
186101,-0.33
186102,-0.30
186103,-0.28
186104,-0.14
186105,-0.19
186106,-0.16
186107,-0.06
186108,-0.01
186109,0.06
186110,-0.03
186111,0.00
186112,-0.08
186201,-0.18
186202,-0.22
186203,-0.16
186204,-0.21
186205,-0.23
186206,-0.13
186207,-0.16
186208,-0.17
186209,-0.09
186210,-0.08
186211,-0.03
186212,-0.09
186301,-0.10
186302,-0.07
186303,-0.06
186304,-0.10
186305,-0.08
186306,-0.11
186307,-0.09
186308,-0.03
186309,-0.06
186310,-0.03
186311,-0.07
186312,0.05
186401,-0.10
186402,-0.14
186403,-0.11
186404,-0.05
186405,-0.01
186406,0.04
186407,0.01
186408,-0.02
186409,-0.06
186410,-0.03
186411,0.12
186412,0.15
186501,0.08
186502,0.03
186503,0.05
186504,0.02
186505,-0.02
186506,0.04
186507,0.12
186508,0.13
186509,0.08
186510,0.10
186511,0.04
186512,0.08
186601,0.14
186602,0.17
186603,0.13
186604,0.02
186605,-0.01
186606,0.09
186607,0.12
186608,0.02
186609,-0.07
186610,0.06
186611,0.09
186612,0.02
186701,-0.03
186702,0.02
186703,0.02
186704,-0.06
186705,-0.03
186706,-0.03
186707,-0.07
186708,0.07
186709,0.14
186710,0.05
186711,-0.07
186712,-0.23
186801,-0.26
186802,-0.09
186803,0.03
186804,0.00
186805,0.08
186806,0.11
186807,0.03
186808,0.03
186809,-0.02
186810,0.06
186811,0.08
186812,0.07
186901,0.07
186902,0.01
186903,0.02
186904,-0.02
186905,0.05
186906,0.06
186907,-0.01
186908,-0.12
186909,-0.09
186910,-0.02
186911,0.12
186912,0.10
187001,0.14
187002,0.06
187003,0.06
187004,0.02
187005,-0.03
187006,-0.08
187007,0.01
187008,0.04
187009,-0.05
187010,-0.10
187011,-0.04
187012,-0.07
187101,-0.08
187102,-0.04
187103,0.05
187104,0.10
187105,0.09
187106,0.08
187107,0.08
187108,-0.02
187109,-0.07
187110,-0.06
187111,0.01
187112,-0.01
187201,-0.01
187202,-0.04
187203,-0.06
187204,-0.06
187205,-0.05
187206,0.02
187207,0.02
187208,0.04
187209,-0.02
187210,-0.05
187211,-0.03
187212,-0.07
187301,0.00
187302,-0.10
187303,-0.20
187304,-0.21
187305,-0.14
187306,-0.05
187307,0.02
187308,0.02
187309,0.01
187310,-0.04
187311,-0.05
187312,-0.04
187401,-0.06
187402,-0.06
187403,-0.20
187404,-0.21
187405,-0.31
187406,-0.17
187407,-0.06
187408,-0.05
187409,-0.09
187410,-0.08
187411,-0.15
187412,-0.09
187501,0.00
187502,-0.03
187503,-0.06
187504,-0.03
187505,-0.03
187506,-0.05
187507,-0.03
187508,0.00
187509,0.02
187510,0.07
187511,0.03
187512,-0.03
187601,-0.07
187602,-0.13
187603,-0.09
187604,-0.20
187605,-0.28
187606,-0.10
187607,-0.06
187608,-0.01
187609,-0.05
187610,0.03
187611,0.00
187612,0.09
187701,0.07
187702,0.11
187703,0.11
187704,0.11
187705,0.16
187706,0.20
187707,0.30
187708,0.27
187709,0.33
187710,0.41
187711,0.44
187712,0.41
187801,0.38
187802,0.35
187803,0.29
187804,0.22
187805,0.23
187806,0.22
187807,0.17
187808,0.17
187809,0.14
187810,0.08
187811,0.06
187812,0.07
187901,0.06
187902,0.14
187903,0.07
187904,0.05
187905,0.05
187906,0.03
187907,0.03
187908,-0.02
187909,-0.01
187910,0.00
187911,0.01
187912,-0.01
188001,-0.02
188002,0.03
188003,0.08
188004,0.09
188005,-0.01
188006,-0.12
188007,-0.11
188008,-0.05
188009,-0.01
188010,-0.10
188011,-0.07
188012,0.01
188101,0.01
188102,0.04
188103,0.12
188104,0.12
188105,0.13
188106,0.09
188107,0.09
188108,0.04
188109,-0.03
188110,-0.07
188111,-0.04
188112,0.04
188201,0.14
188202,0.13
188203,0.08
188204,0.04
188205,0.01
188206,-0.03
188207,-0.03
188208,-0.02
188209,-0.04
188210,-0.03
188211,0.04
188212,0.08
188301,0.03
188302,-0.04
188303,-0.05
188304,-0.02
188305,-0.06
188306,-0.02
188307,-0.01
188308,-0.05
188309,-0.10
188310,-0.04
188311,-0.01
188312,-0.04
188401,0.00
188402,0.06
188403,-0.10
188404,-0.13
188405,-0.10
188406,-0.16
188407,-0.20
188408,-0.18
188409,-0.12
188410,-0.14
188411,-0.17
188412,-0.15
188501,-0.19
188502,-0.13
188503,-0.18
188504,-0.21
188505,-0.21
188506,-0.24
188507,-0.23
188508,-0.17
188509,-0.17
188510,-0.10
188511,-0.08
188512,-0.05
188601,-0.10
188602,-0.15
188603,-0.15
188604,-0.14
188605,-0.11
188606,-0.16
188607,-0.19
188608,-0.23
188609,-0.20
188610,-0.14
188611,-0.14
188612,-0.23
188701,-0.35
188702,-0.29
188703,-0.20
188704,-0.19
188705,-0.23
188706,-0.14
188707,-0.22
188708,-0.21
188709,-0.17
188710,-0.19
188711,-0.12
188712,-0.09
188801,-0.10
188802,-0.08
188803,-0.13
188804,-0.08
188805,-0.01
188806,0.00
188807,-0.04
188808,-0.06
188809,-0.01
188810,0.12
188811,0.10
188812,0.20
188901,0.20
188902,0.15
188903,0.13
188904,0.06
188905,0.05
188906,-0.02
188907,-0.04
188908,-0.09
188909,-0.12
188910,-0.11
188911,-0.10
188912,-0.12
189001,-0.20
189002,-0.25
189003,-0.24
189004,-0.24
189005,-0.22
189006,-0.15
189007,-0.24
189008,-0.31
189009,-0.35
189010,-0.29
189011,-0.25
189012,-0.16
189101,-0.17
189102,-0.16
189103,-0.12
189104,-0.07
189105,-0.05
189106,-0.05
189107,-0.07
189108,-0.07
189109,-0.06
189110,-0.08
189111,-0.11
189112,-0.04
189201,-0.05
